state,districts,locations,main_meals,snacks,desserts,total_state,share_main,share_snacks,share_desserts
Selangor,7,17,792,1000,553,2345,0.3377,0.4264,0.2358
W.P. Kuala Lumpur,7,14,883,935,328,2146,0.4115,0.4357,0.1528
Negeri Sembilan,1,6,333,305,164,802,0.4152,0.3803,0.2045
Melaka,1,5,203,480,156,839,0.242,0.5721,0.1859
Johor,8,194,207,220,143,570,0.3632,0.386,0.2509
Kedah,3,11,118,64,35,217,0.5438,0.2949,0.1613
Perlis,2,8,42,47,20,109,0.3853,0.4312,0.1835
Perak,11,40,90,65,37,192,0.4688,0.3385,0.1927
Penang,4,34,113,44,43,200,0.565,0.22,0.215
Terengganu,7,10,495,504,396,1395,0.3548,0.3613,0.2839
Pahang,8,14,362,356,241,959,0.3775,0.3712,0.2513
Kelantan,4,2,92,102,172,366,0.2514,0.2787,0.4699
Sabah,4,8,54,55,28,137,0.3942,0.4015,0.2044
Sarawak,3,15,103,37,83,243,0.4239,0.1523,0.3416
